product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url,review_year,sentiment
266374,L'Oreal Paris,1472576,love it !,It’s absolutely amazing ! Worth the price ! I have long hair so the quantity was less for my hair. Otherwise totally loving my new hair.,Vanshika Jain,14/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1486923,Good product,This is a very good product and works very well but if your hair is colored with any other product specially black color so this product won't give that much satisfaction.,Diksha Singh,18/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1489064,Amazing Buy,"I coloured my hairs for the first time, this product is total value for money! It made my hairs more silky & smooth along with fab colour! Thanks to NYKAA for super fast delivery on sunday! This is must try product if you do not want to spend 3k at salon",Deepika Joshi,18/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2152813,Lovely shade,Loreal Paris magic touch covers all visible white hairs and made my hair look natural.,Shekhar Sharma,20/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2179015,Totally recommended,Best part about the product is the way it makes the entire process so convenient. totally recommended.,Nehal Roy,22/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2193975,salon like Highlights,Amazing and reasonable for colouring your hair,Aishwarya kapoor,24/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2194501,Nice product and easy to use,No need to go to parlour and spend 2k when u could do it on your own,Anchal Kaw,24/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,3730029,Honey Blonde.,Now girls with dusky skin tone this shade is for you! Just buy highlight it and shine!,Shweta Nagrare,12/12/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,4021184,Love,"I have used this hair color for the 2nd time... I got for honey blonde as its lighter and there is more difference between the colored and non-colored hair... So it gives me a good mix of light brown and black... After I have used it, I have got so so many compliments... it's easy to use and stays for at least 4 months if you wash your hair every next day else it will stay longer... I recommend this color if you are not looking for a drastic change but want to revive your look...",priyangna shukla,9/1/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4047096,Must try,Must try for somebody who is thinking for saloon highlights.,sweta kuntal,13/1/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4276426,Great product.,Worth a try. Though quantity is less.,Dakshita Mahendru,13/2/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4312918,Awesome.,Love the shade and easy application.,Sumi Sumi,18/2/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4320888,Caramel brown.,I shouldn't have been used this product.,sheikh y,18/2/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4331973,Caramel Brown,The colouring is intense n easy.,Ema Debbarma,19/2/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4512821,amazing product,I coloured my hairs for the first time and I am amazed at the results..loved it.,Khushi Kapisway,13/3/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4533818,Worst,Did not work on my hair.... after applying no change in the colour of my hair... waste of money,Rupali Razdan,17/3/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4598242,Very nice.,Nice highlight but if you are doing it for the first time you have to keep it on hair at least for 60 min then the highlight will show.,Riti Sardar,27/3/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4629220,Love it!!,"Just that one word love it. The color is so good and it stood on my hair, Usually, the color wears off after a few washes, but this one stuck, looked good and is just great.",Gangotri Jain,1/4/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4751693,Five on five.,I tried this one for the first time and I was so happy with the payout. Its been seven months and I can still see the color on my hair.,best,12/4/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4770578,Awesome product,I recently colored my hair at home for the very first time. I thought to not paying 4 to 6 k at the salon and try coloring my hair at home. I bought Loreal Paris excellence honey blond fashion highlight if you have medium hair length buy 2 pack and if you have long hair I would suggest buying 3. The brush is not very useful so please use your hand I tried doing ombre as I wanted more color in my hair. I have applied hair color and used foils and left it for about 1 hour 15 mins. Color has come really nice it got a bit dry as usual after coloring but I am very satisfied with my experience. Tips:- do not use shampoo after color you can use a conditioner which comes along. Do not forget to use aluminum foil paper Pro:- nice shade for naturally dark hair. Glossy shine. Cons: very little quantity in a single pack. The brush is not at all useful.,Nazneen Ameer,13/4/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,4856601,Love it,This colors suits Indian skin so well I love it.,Hina Fatima,19/4/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
